lm_weight,word_score,beam_size,avg_wer,time_seconds,status
0.4,-5.0,200,0.7094444444444445,0.9633240699768066,success
0.4,-5.0,300,0.7705158730158731,0.988102912902832,success
0.4,-5.0,400,0.7488095238095237,1.0799598693847656,success
0.4,-4.0,200,0.6755158730158731,0.8885152339935303,success
0.4,-4.0,300,0.7375,1.128481149673462,success
0.4,-4.0,400,0.7910317460317461,1.3047049045562744,success
0.4,-3.0,200,0.7250793650793651,1.0681312084197998,success
0.4,-3.0,300,0.6930158730158731,1.1992921829223633,success
0.4,-3.0,400,0.7063095238095239,1.2990169525146484,success
0.5,-5.0,200,0.6949206349206349,0.6848242282867432,success
0.5,-5.0,300,0.7086111111111112,0.6807663440704346,success
0.5,-5.0,400,0.667936507936508,0.6679842472076416,success
0.5,-4.0,200,0.6411111111111109,0.8523938655853271,success
0.5,-4.0,300,0.6821428571428573,0.9547038078308105,success
0.5,-4.0,400,0.7572619047619047,1.1038131713867188,success
0.5,-3.0,200,0.7015873015873016,1.0738277435302734,success
0.5,-3.0,300,0.6816666666666666,0.9976317882537842,success
0.5,-3.0,400,0.7696031746031745,1.209355115890503,success
